Blog	absolut	accept	accompani	account	achiev	activ	adam	add	addict	addit	admir	admit	ador	adventur	affect	agre	air	alien	altern	american	amount	announc	anticip	apart	appar	approach	area	arrang	aspect	associ	assum	attack	attend	attract	audienc	author	avoid	awar	award	babi	bad	bag	balanc	ball	ballad	bang	bank	bare	basic	battl	belong	bend	bill	bless	blind	bone	bother	brain	bridg	captur	card	career	case	cat	chain	challeng	chanc	channel	charact	charg	charm	chill	choic	choos	chord	circl	claim	class	clean	click	clip	cloth	cloud	club	collabor	colour	combin	comment	commit	compani	compar	compil	complain	concern	confid	confus	constant	construct	consum	contain	contribut	control	convers	convinc	cook	corner	correct	coupl	crack	craft	crash	creativ	credit	critic	crush	cultur	danger	daughter	deal	decad	decis	dedic	defin	delight	deliv	demand	depend	depress	desir	destroy	dig	digit	disappear	display	distinct	distract	domin	doubt	download	drag	drug	earn	echo	edg	effort	electr	element	email	embrac	emerg	engag	enter	entertain	equal	escap	essenti	establish	etern	evolv	exampl	excel	expand	explod	explor	explos	extrem	fact	faith	famili	fascin	fashion	fear	festiv	finger	fix	flame	flash	float	floor	flow	flower	folk	fool	forget	format	fortun	found	fox	frank	freak	frequent	front	frustrat	gain	garden	gather	genr	giant	gift	glass	god	grab	grant	ground	guess	guest	guid	harmoni	haunt	heartbreak	heaven	hero	hide	highlight	hill	hole	holiday	honest	honor	hook	hors	host	human	hundr	hunt	hurt	ignor	immedi	improv	increas	incred	independ	indic	individu	industri	initi	instant	intens	intent	intern	interview	introduc	invent	invit	iron	island	jam	joke	joy	judg	jump	killer	kiss	knock	label	lack	ladi	larg	launch	lay	leg	letter	level	lift	load	local	locat	lock	lone	long	loud	lover	low	lyric	machin	march	market	marri	melodi	melt	mental	mess	messag	mile	million	mirror	mistak	model	monster	mother	mountain	murder	musician	mysteri	narrat	nice	nois	normal	object	observ	obsess	occasion	occur	odd	offic	offici	oper	opinion	outsid	pace	pair	parent	passion	pattern	phone	photograph	physic	player	pleasur	polit	popular	possess	practic	predict	prefer	prepar	press	pretend	previous	price	print	program	promot	prove	public	publish	purchas	purpos	qualiti	queen	quiet	quot	random	rang	rare	rate	realiz	receiv	recommend	red	regular	relationship	remov	replac	report	repres	request	requir	resid	respect	respons	rest	reveal	ring	rip	river	road	room	root	rough	round	ruin	rush	sale	sampl	san	scare	schedul	score	seat	select	send	sens	separ	serv	session	settl	sever	shadow	shift	ship	shirt	shock	shoe	shoot	short	shout	similar	site	situat	size	skill	slight	slip	slow	smell	smith	smoke	soft	solo	son	songwrit	soundtrack	sourc	space	spark	special	specif	spell	spend	spin	spirit	sport	spot	stage	standard	stare	station	stick	still	store	strang	stream	stretch	strike	strong	struggl	student	studi	studio	subject	suck	sudden	suffer	summer	surround	surviv	swim	switch	tale	talent	tape	team	technic	term	test	thousand	thrill	ticket	tie	tip	tire	tone	toward	town	toy	trade	tradit	trail	transform	transit	treat	trick	troubl	truth	twin	twist	ultim	unfortun	unlik	updat	venu	vision	wake	wander	warm	warn	wash	weekend	welcom	wide	wild	wind	window	wing	wood	wrap	writer	york	youth
Mile In Mine	2	6	4	3	1	3	2	2	2	2	2	2	2	1	3	1	1	2	3	2	2	3	2	2	2	2	2	2	2	1	0	1	3	1	2	2	2	2	2	2	2	0	2	1	2	1	1	2	1	1	4	2	2	3	2	0	2	3	1	3	1	2	1	2	1	3	1	1	2	2	0	2	1	3	2	2	2	2	2	1	1	2	2	1	5	0	2	1	2	2	3	1	2	2	2	3	2	2	4	3	0	1	1	2	3	1	1	3	2	3	0	1	3	3	1	3	2	2	2	2	2	1	2	1	4	0	1	1	3	2	1	2	1	1	2	2	2	1	1	1	2	4	3	3	2	2	1	1	3	0	4	1	2	2	2	1	1	1	2	1	4	2	2	1	2	2	2	2	2	1	2	1	1	2	1	1	2	2	2	4	2	2	1	1	1	0	3	2	0	2	1	2	0	1	1	2	2	1	2	2	2	3	1	2	1	2	3	3	4	1	1	2	0	1	1	3	1	1	2	3	1	3	3	1	2	2	3	2	2	1	2	1	0	3	3	3	0	1	4	5	3	1	1	1	1	1	2	2	1	0	2	1	2	2	2	2	2	2	2	2	2	1	2	0	2	1	1	1	1	2	2	0	2	3	2	1	3	3	2	2	3	1	1	1	2	1	2	2	0	3	2	1	2	3	6	2	1	1	2	3	3	0	1	1	1	2	2	2	3	2	3	2	3	1	1	2	3	1	2	3	3	4	4	1	3	2	3	1	2	3	1	3	3	2	3	4	1	1	2	1	2	1	2	3	2	3	3	2	2	1	1	2	1	1	1	2	3	1	1	3	4	1	3	1	1	2	2	1	3	1	3	1	2	2	2	2	1	2	2	2	2	2	3	4	3	1	2	2	2	2	1	1	1	1	2	2	4	3	2	2	0	1	2	2	3	2	2	2	2	1	2	3	0	1	3	1	1	2	1	2	3	2	1	2	1	0	2	2	1	1	2	1	3	1	3	1	2	2	3	2	2	2	2	1	2	4	3	2	0	2	3	1	2	0	2	1	2	3	3	2	2	1	1	2	1	1	0	3	1	3	2	2	1	2	2	1	2	2	2	2	1	2	2	2	1	2	1	1	1	1	1	1	2	1	2	2	3	2	1	1
Morgan's Blog	0	3	3	3	2	2	1	1	3	2	0	1	2	3	0	2	1	1	0	2	0	1	1	1	2	2	1	2	1	2	1	1	2	4	1	1	2	2	1	2	2	1	1	1	0	1	2	2	2	2	1	0	3	3	3	1	1	1	2	0	1	3	2	1	0	4	2	1	2	2	1	1	2	0	1	0	2	1	1	1	0	0	1	1	0	0	1	2	2	1	2	0	1	2	2	1	0	2	3	1	1	2	0	1	3	0	2	2	3	1	2	3	2	1	3	1	1	2	1	2	2	2	0	0	1	1	1	3	3	1	0	1	0	1	1	1	2	2	0	3	2	2	0	2	1	1	0	2	1	0	1	1	2	2	2	1	1	1	1	1	1	1	0	0	0	1	2	1	2	0	2	3	3	2	2	1	1	2	1	2	1	2	0	1	1	1	2	1	0	3	1	1	3	0	3	2	1	2	2	1	1	1	1	2	3	2	2	0	1	1	1	2	2	1	2	2	2	2	2	2	1	0	3	2	1	2	3	1	1	0	1	2	1	2	0	2	0	3	3	1	0	1	0	1	0	0	1	2	1	3	2	2	2	2	0	1	2	1	2	1	3	0	1	2	1	4	1	2	1	1	1	0	1	0	1	3	2	2	0	1	2	1	2	2	1	0	2	1	0	2	2	3	0	2	0	1	0	1	0	2	2	1	2	1	1	0	0	2	1	2	1	2	2	1	2	2	1	2	1	3	1	0	3	2	2	1	0	0	2	2	0	0	1	3	1	2	0	1	1	1	1	1	1	2	2	0	3	3	2	1	3	2	2	2	2	2	1	2	0	3	3	2	2	1	1	1	2	1	3	1	3	1	1	1	1	1	2	2	2	3	0	2	2	2	3	1	2	2	1	1	4	2	1	1	0	2	0	1	2	2	1	4	2	1	1	2	1	2	1	2	2	0	0	0	1	2	1	2	2	2	1	3	3	1	2	1	0	2	2	2	1	1	1	2	2	1	1	0	1	0	2	3	2	4	1	2	2	0	3	1	2	0	2	0	1	1	1	2	2	2	0	2	1	2	1	1	1	1	3	0	1	2	0	1	1	0	2	1	3	2	3	2	2	2	1	3	2	0	2	1	1	1	1	2	1	0	4	1	2	1
My Name Is Blue Canary	2	4	5	1	6	5	2	2	2	2	6	4	6	3	5	2	3	2	6	1	2	7	4	3	2	4	2	4	2	4	3	2	5	3	3	2	3	2	3	1	2	3	3	2	2	4	2	2	3	2	2	2	3	1	2	2	4	2	1	4	2	2	2	2	1	3	2	2	2	2	2	3	2	3	2	4	4	2	2	3	3	2	2	2	4	0	6	5	3	2	5	5	4	3	3	5	2	3	1	5	4	5	6	3	2	2	7	2	4	1	4	2	3	6	3	2	1	1	1	1	2	4	1	5	4	3	3	3	2	2	2	2	4	4	4	3	2	3	5	3	2	4	4	3	2	2	2	2	2	3	4	4	6	2	3	2	3	3	2	2	2	2	4	6	3	3	3	3	2	5	2	4	3	2	4	2	4	4	4	3	1	2	4	3	3	4	2	1	2	4	2	3	3	2	1	3	2	2	2	2	2	4	2	3	3	3	3	2	4	2	3	2	3	2	1	2	1	2	5	4	1	4	2	2	3	2	4	2	6	4	2	1	6	2	2	4	3	3	4	4	4	4	4	4	3	1	4	5	3	3	4	1	2	3	4	3	2	2	4	3	3	3	2	3	4	2	5	2	2	2	2	2	1	4	2	3	1	2	2	2	2	4	3	2	2	2	3	2	2	1	2	2	2	5	6	2	2	2	2	3	5	2	4	3	3	3	6	2	1	4	5	3	2	2	3	7	3	2	1	4	2	4	5	1	6	5	4	4	2	2	4	4	6	4	4	3	4	4	2	2	2	4	4	3	2	1	4	3	2	1	2	2	3	5	5	5	4	4	2	4	3	2	2	3	4	2	2	2	3	2	4	4	3	2	4	2	4	3	2	4	5	2	2	5	4	2	3	4	2	3	2	2	5	2	3	4	4	4	2	4	3	3	2	4	3	4	1	2	2	2	1	3	2	1	3	4	1	3	4	3	2	2	4	4	3	2	3	3	3	1	3	2	2	2	3	2	4	1	3	2	4	4	2	2	1	3	3	3	4	2	3	3	2	2	2	4	2	3	4	4	4	3	3	2	2	2	3	3	1	2	4	2	2	4	1	2	3	2	2	2	4	2	1	3	3	5	4	4	2	3	2	4	3	2	2	3	4	2	1	3
One Stunning Single Egg	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	2	2	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0
Our Podcast Could Be Your Life	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Parish Radio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pithy Title Here	2	6	0	4	3	3	2	2	1	2	0	5	3	2	4	4	1	2	2	2	2	6	2	2	2	4	2	2	2	3	3	4	6	4	2	3	2	2	2	1	2	2	4	2	0	1	2	2	3	1	2	2	3	2	1	2	1	1	3	3	2	2	2	2	3	5	2	2	2	3	2	2	2	3	2	1	3	2	1	3	3	2	2	1	3	1	3	3	0	2	3	2	3	3	2	3	2	3	4	2	1	2	2	3	2	2	2	4	1	3	4	3	2	5	1	4	4	1	3	2	2	0	4	1	4	4	2	1	2	4	1	2	0	2	2	0	2	1	3	2	2	2	0	1	2	3	2	2	3	3	3	3	4	4	2	2	3	0	3	2	2	0	2	2	1	3	2	2	2	1	2	3	2	2	4	2	2	0	1	1	3	2	3	2	2	2	3	2	1	1	2	3	2	3	1	2	2	2	2	2	2	4	3	2	2	2	3	2	1	2	2	1	2	2	2	2	2	2	4	3	2	2	3	2	2	2	5	2	4	4	2	0	4	5	2	2	2	1	3	2	2	1	2	1	3	1	1	3	1	3	3	2	2	4	4	3	2	1	3	2	2	2	3	1	3	3	4	3	0	1	1	0	2	4	2	1	4	2	2	2	0	3	3	2	2	1	2	2	1	2	2	2	2	1	2	2	2	2	4	6	2	2	4	3	4	3	4	2	1	3	2	3	1	0	2	1	3	2	2	4	1	2	4	4	4	3	2	1	1	4	2	3	3	3	4	2	3	2	1	2	2	2	2	5	2	4	3	3	2	1	4	2	3	4	6	3	2	4	3	6	4	1	3	3	2	2	2	1	4	2	2	1	3	2	4	2	2	2	3	2	3	3	1	2	4	1	2	2	0	2	2	2	3	2	4	3	2	3	2	2	2	2	2	3	3	4	1	3	2	1	2	3	2	1	1	1	1	3	1	3	2	3	3	3	2	2	3	2	3	2	2	1	3	3	3	2	4	2	3	1	2	3	2	4	2	4	5	2	4	2	3	1	2	2	2	3	2	2	2	3	3	2	3	1	1	3	2	2	2	0	2	2	2	3	2	1	4	2	2	2	3	2	2	1	2	3	2	3	3	4	2	1	2	1	2	2	4	1	2	1
Rants from the Pants	2	2	2	4	1	4	0	1	3	1	2	2	0	2	1	3	4	0	0	2	2	2	1	1	2	1	2	0	1	1	1	3	2	0	1	0	0	1	0	2	1	1	2	3	0	0	0	3	1	3	1	0	2	0	1	1	2	1	1	0	2	1	2	2	1	2	2	1	2	2	2	0	2	3	0	0	4	1	3	1	2	1	0	1	1	3	4	5	0	2	2	0	1	2	2	2	1	1	0	2	2	1	0	2	2	3	1	1	2	0	1	1	0	5	2	2	1	2	2	3	2	0	1	1	1	2	2	1	1	1	3	0	2	3	0	2	0	1	0	2	2	1	0	1	2	2	0	3	2	0	1	2	4	3	2	0	2	1	0	2	2	0	2	0	0	2	1	1	2	0	2	3	1	3	0	1	1	1	1	0	2	2	1	2	1	2	2	1	1	2	1	1	3	0	0	1	0	1	2	2	2	1	2	3	1	2	0	1	0	0	1	1	1	1	1	1	1	2	0	2	2	1	4	1	0	3	5	1	1	2	2	3	0	0	2	1	0	0	2	1	2	0	2	2	0	1	1	3	2	2	1	1	3	2	0	2	2	1	0	0	0	1	3	0	2	1	0	2	0	1	2	1	1	1	2	2	1	2	0	2	2	2	2	0	1	1	0	1	2	2	0	2	1	1	1	2	0	1	4	0	0	1	0	0	1	1	2	3	2	0	1	3	3	0	2	0	1	0	1	3	1	1	1	3	2	4	1	1	0	0	1	2	1	3	1	1	0	1	2	2	1	2	1	2	1	0	0	2	1	2	0	2	2	3	1	3	0	0	2	2	4	1	1	1	1	1	1	1	1	0	2	2	2	0	0	1	3	1	3	2	1	2	1	1	4	0	0	2	0	1	0	1	0	2	1	2	1	1	2	0	3	1	1	2	1	2	0	1	1	1	2	1	2	1	1	0	1	2	1	2	1	3	2	1	1	2	2	2	2	1	0	1	0	0	1	1	1	2	2	1	2	3	2	2	1	1	2	1	0	0	2	0	1	2	0	4	1	1	2	1	1	1	1	1	1	1	1	1	0	0	0	2	3	1	1	0	0	2	1	1	1	0	1	1	2	1	1	1	1	1	1	1	2	2	0	0	2	2	0	1
Riley Haas' blog	3	6	5	7	8	4	2	2	6	4	8	5	3	4	6	4	5	5	6	3	3	7	4	2	2	5	2	7	2	5	4	4	5	8	2	5	6	2	4	2	3	2	4	3	3	2	3	3	3	2	5	4	4	3	3	2	4	2	3	4	2	2	2	2	2	4	2	4	2	4	3	1	2	3	2	4	4	2	4	2	3	2	3	2	6	2	6	6	6	2	7	3	4	4	4	6	2	5	4	6	6	5	6	5	4	2	5	3	3	2	4	3	3	10	3	4	4	2	3	2	3	3	3	3	4	4	6	4	5	5	2	4	5	3	4	6	9	5	4	3	3	4	3	3	2	3	2	4	4	6	3	4	8	5	5	3	5	3	3	2	6	4	4	6	4	4	3	3	3	4	2	4	2	4	4	4	4	4	3	2	3	2	3	5	4	3	2	1	3	4	3	4	5	4	3	4	2	2	3	3	3	4	4	3	4	3	4	2	4	3	3	2	3	4	2	2	2	2	2	4	2	4	10	2	4	4	6	2	6	5	2	4	9	4	3	6	2	4	8	6	5	4	6	5	2	3	4	5	3	4	4	2	3	4	5	4	2	2	3	3	3	2	2	4	3	3	5	5	2	1	2	2	3	5	3	2	5	4	2	3	3	4	3	2	2	2	3	2	2	2	2	6	2	3	8	2	2	2	9	9	7	2	6	4	4	3	8	2	3	3	5	4	2	2	2	3	3	2	2	6	4	7	6	9	8	3	3	4	2	4	3	4	4	4	8	5	3	5	2	2	2	3	5	3	2	5	4	4	4	4	3	2	6	7	6	4	1	6	4	10	6	4	4	3	4	2	2	2	4	4	4	4	4	2	4	2	4	4	4	3	7	3	3	5	4	2	4	4	2	3	3	2	5	2	4	3	3	4	2	3	3	3	3	4	3	4	2	4	2	4	2	3	2	3	2	1	6	3	3	3	3	3	3	2	4	4	3	2	3	2	2	3	4	4	3	2	4	2	4	2	5	4	2	4	2	5	4	3	3	2	3	3	2	2	2	4	2	2	2	4	4	3	2	2	4	3	5	5	2	7	6	4	2	3	3	2	3	2	2	4	4	1	2	2	5	4	3	2	2	3	2	5	4	2	3	2	4	2	2	4
Rod Shone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Room 19's Blog 2016	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0
Rosie Gigg A2 Media Studies	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	1	1	0	0	2	0	1	0	1	0	0	1	2	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	2	0	0	4	2	0	0	2	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	1	0	0	2	0	0	0	2	0	0	2	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	2	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	1	0	2	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	2	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	1	0	3	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	1	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
